date,value
2020/1/1 0:10,86.1
2020/1/1 0:20,85.2
2020/1/1 0:30,85.1
2020/1/1 0:40,86.3
2020/1/1 0:50,87.4
2020/1/1 1:00,87.1
2020/1/1 1:10,87.4
2020/1/1 1:20,88.1
2020/1/1 1:30,88.1
2020/1/1 1:40,87.4
2020/1/1 1:50,87.5
2020/1/1 2:00,89.1
2020/1/1 2:10,88.6
2020/1/1 2:20,88.1
2020/1/1 2:30,88.9
2020/1/1 2:40,88.2
2020/1/1 2:50,88.6
2020/1/1 3:00,88.5
2020/1/1 3:10,88.7
2020/1/1 3:20,89.2
2020/1/1 3:30,90.6
2020/1/1 3:40,90.8
2020/1/1 3:50,90.9
2020/1/1 4:00,90.9
2020/1/1 4:10,91.4
2020/1/1 4:20,91.7
2020/1/1 4:30,90.5
2020/1/1 4:40,92.1
2020/1/1 4:50,92.4
2020/1/1 5:00,93.2
2020/1/1 5:10,92.3
2020/1/1 5:20,93.4
2020/1/1 5:30,93.8
2020/1/1 5:40,93.7
2020/1/1 5:50,94.1
2020/1/1 6:00,94
2020/1/1 6:10,94.1
2020/1/1 6:20,94.6
2020/1/1 6:30,94.8
2020/1/1 6:40,95
2020/1/1 6:50,95
2020/1/1 7:00,95
2020/1/1 7:10,94.3
2020/1/1 7:20,93.8
2020/1/1 7:30,94.1
2020/1/1 7:40,94.2
2020/1/1 7:50,94.3
2020/1/1 8:00,94.5
2020/1/1 8:10,94.5
2020/1/1 8:20,94.4
2020/1/1 8:30,94.7
2020/1/1 8:40,93.9
2020/1/1 8:50,93.6
2020/1/1 9:00,94
2020/1/1 9:10,93.8
2020/1/1 9:20,93.4
2020/1/1 9:30,92.9
2020/1/1 9:40,92.4
2020/1/1 9:50,92.5
2020/1/1 10:00,91.1
2020/1/1 10:10,87.4
2020/1/1 10:20,86.1
2020/1/1 10:30,86.1
2020/1/1 10:40,86.4
2020/1/1 10:50,85.9
2020/1/1 11:00,86.6
2020/1/1 11:10,85.8
2020/1/1 11:20,85.5
2020/1/1 11:30,85
2020/1/1 11:40,84.8
2020/1/1 11:50,84.1
2020/1/1 12:00,82
2020/1/1 12:10,80.5
2020/1/1 12:20,80.1
2020/1/1 12:30,78.3
2020/1/1 12:40,77.5
2020/1/1 12:50,75.3
2020/1/1 13:00,74.2
2020/1/1 13:10,74.1
2020/1/1 13:20,73.7
2020/1/1 13:30,70.9
2020/1/1 13:40,70.7
2020/1/1 13:50,70
2020/1/1 14:00,70.8
2020/1/1 14:10,72.2
2020/1/1 14:20,71.4
2020/1/1 14:30,70.3
2020/1/1 14:40,70.4
2020/1/1 14:50,69.02
2020/1/1 15:00,68.2
2020/1/1 15:10,69.47
2020/1/1 15:20,70.3
2020/1/1 15:30,69.19
2020/1/1 15:40,68.67
2020/1/1 15:50,68.54
2020/1/1 16:00,70.4
2020/1/1 16:10,72.5
2020/1/1 16:20,73.4
2020/1/1 16:30,73.7
2020/1/1 16:40,74
2020/1/1 16:50,74.7
2020/1/1 17:00,76.6
2020/1/1 17:10,78.9
2020/1/1 17:20,79.3
2020/1/1 17:30,79.6
2020/1/1 17:40,81.3
2020/1/1 17:50,81.6
2020/1/1 18:00,81.9
2020/1/1 18:10,81.8
2020/1/1 18:20,84
2020/1/1 18:30,85.5
2020/1/1 18:40,85.3
2020/1/1 18:50,85.8
2020/1/1 19:00,85.9
2020/1/1 19:10,89
2020/1/1 19:20,90.1
2020/1/1 19:30,89.6
2020/1/1 19:40,89.8
2020/1/1 19:50,89.1
2020/1/1 20:00,89.7
2020/1/1 20:10,89.3
2020/1/1 20:20,90.6
2020/1/1 20:30,92
2020/1/1 20:40,92.2
2020/1/1 20:50,92.3
2020/1/1 21:00,92.8
2020/1/1 21:10,93.8
2020/1/1 21:20,93.7
2020/1/1 21:30,93.9
2020/1/1 21:40,94.7
2020/1/1 21:50,94.3
2020/1/1 22:00,94
2020/1/1 22:10,94.3
2020/1/1 22:20,94.4
2020/1/1 22:30,94.7
2020/1/1 22:40,94.8
2020/1/1 22:50,94.9
2020/1/1 23:00,94.5
2020/1/1 23:10,94.2
2020/1/1 23:20,93.4
2020/1/1 23:30,93.2
2020/1/1 23:40,90.4
2020/1/1 23:50,89.7
2020/1/2 0:00,91.4
2020/1/2 0:10,91.3
2020/1/2 0:20,91.2
2020/1/2 0:30,91.3
2020/1/2 0:40,92
2020/1/2 0:50,90.7
2020/1/2 1:00,90.1
2020/1/2 1:10,91.1
2020/1/2 1:20,92.6
2020/1/2 1:30,92.9
2020/1/2 1:40,93.9
2020/1/2 1:50,92.7
2020/1/2 2:00,93.1
2020/1/2 2:10,93.1
2020/1/2 2:20,91.2
2020/1/2 2:30,88.7
2020/1/2 2:40,89.7
2020/1/2 2:50,92
2020/1/2 3:00,92.5
2020/1/2 3:10,92.5
2020/1/2 3:20,91.7
2020/1/2 3:30,90.3
2020/1/2 3:40,91.1
2020/1/2 3:50,91.7
2020/1/2 4:00,92.2
2020/1/2 4:10,90.5
2020/1/2 4:20,89.6
2020/1/2 4:30,89.4
2020/1/2 4:40,90.9
2020/1/2 4:50,90.9
2020/1/2 5:00,89.9
2020/1/2 5:10,89.1
2020/1/2 5:20,85.4
2020/1/2 5:30,88.3
2020/1/2 5:40,89.8
2020/1/2 5:50,90
2020/1/2 6:00,91.3
2020/1/2 6:10,90.7
2020/1/2 6:20,90.8
2020/1/2 6:30,91
2020/1/2 6:40,90.3
2020/1/2 6:50,88.5
2020/1/2 7:00,89.7
2020/1/2 7:10,88.3
2020/1/2 7:20,87.4
2020/1/2 7:30,86.5
2020/1/2 7:40,86.6
2020/1/2 7:50,87.4
2020/1/2 8:00,86.8
2020/1/2 8:10,87.6
2020/1/2 8:20,90.2
2020/1/2 8:30,90.4
2020/1/2 8:40,87.5
2020/1/2 8:50,84.4
2020/1/2 9:00,83.7
2020/1/2 9:10,84
2020/1/2 9:20,86.2
2020/1/2 9:30,82.9
2020/1/2 9:40,82.8
2020/1/2 9:50,82.8
2020/1/2 10:00,83.6
2020/1/2 10:10,83.9
2020/1/2 10:20,83.6
2020/1/2 10:30,81.4
2020/1/2 10:40,80.2
2020/1/2 10:50,77
2020/1/2 11:00,73.7
2020/1/2 11:10,72.7
2020/1/2 11:20,71.4
2020/1/2 11:30,71.4
2020/1/2 11:40,70.2
2020/1/2 11:50,67.31
2020/1/2 12:00,65.15
2020/1/2 12:10,61.45
2020/1/2 12:20,61.68
2020/1/2 12:30,59.96
2020/1/2 12:40,58.23
2020/1/2 12:50,55.33
2020/1/2 13:00,52.83
2020/1/2 13:10,50.54
2020/1/2 13:20,52.29
2020/1/2 13:30,52.72
2020/1/2 13:40,53.29
2020/1/2 13:50,53.8
2020/1/2 14:00,55.42
2020/1/2 14:10,58.09
2020/1/2 14:20,60.07
2020/1/2 14:30,59.87
2020/1/2 14:40,60.77
2020/1/2 14:50,61.54
2020/1/2 15:00,60.22
2020/1/2 15:10,59.89
2020/1/2 15:20,61.08
2020/1/2 15:30,61.8
2020/1/2 15:40,61.73
2020/1/2 15:50,63.64
2020/1/2 16:00,66.44
2020/1/2 16:10,68.68
2020/1/2 16:20,70.1
2020/1/2 16:30,69.98
2020/1/2 16:40,69.27
2020/1/2 16:50,70.5
2020/1/2 17:00,70.2
2020/1/2 17:10,71.3
2020/1/2 17:20,72.3
2020/1/2 17:30,74.4
2020/1/2 17:40,76.1
2020/1/2 17:50,77
2020/1/2 18:00,76.3
2020/1/2 18:10,77.2
2020/1/2 18:20,77.3
2020/1/2 18:30,77.9
2020/1/2 18:40,78.9
2020/1/2 18:50,80.4
2020/1/2 19:00,81.7
2020/1/2 19:10,82.5
2020/1/2 19:20,82.4
2020/1/2 19:30,83
2020/1/2 19:40,83.3
2020/1/2 19:50,84.2
2020/1/2 20:00,83.9
2020/1/2 20:10,83.6
2020/1/2 20:20,84
2020/1/2 20:30,84.4
2020/1/2 20:40,84.5
2020/1/2 20:50,84.7
2020/1/2 21:00,85.1
2020/1/2 21:10,85.1
2020/1/2 21:20,84.9
2020/1/2 21:30,84.6
2020/1/2 21:40,84.9
2020/1/2 21:50,85.2
2020/1/2 22:00,85.3
2020/1/2 22:10,85.1
2020/1/2 22:20,84.3
2020/1/2 22:30,84.6
2020/1/2 22:40,85.4
2020/1/2 22:50,85.5
2020/1/2 23:00,85.7
2020/1/2 23:10,85.9
2020/1/2 23:20,85.4
2020/1/2 23:30,84.9
2020/1/2 23:40,85.2
2020/1/2 23:50,85.7
2020/1/3 0:00,85.8
2020/1/3 0:10,86
2020/1/3 0:20,85.9
2020/1/3 0:30,86.6
2020/1/3 0:40,87.2
2020/1/3 0:50,87.5
2020/1/3 1:00,86.6
2020/1/3 1:10,86
2020/1/3 1:20,85.4
2020/1/3 1:30,85
2020/1/3 1:40,85
